Date,Open,High,Low,Close,Adj Close,Volume
1970-11-02,6.891026,6.931090,6.850962,6.860978,1.455256,405600
1970-11-03,6.860978,7.011218,6.850962,6.971154,1.478625,411840
1970-11-04,6.971154,7.131410,6.941106,7.041266,1.493496,574080
1970-11-05,7.011218,7.011218,6.941106,6.961138,1.476500,375648
1970-11-06,6.961138,6.991186,6.941106,6.951122,1.474377,314496
1970-11-09,6.951122,7.041266,6.951122,6.971154,1.478625,539136
1970-11-10,6.971154,7.001202,6.951122,6.981170,1.480751,459264
1970-11-11,6.981170,7.021234,6.951122,6.961138,1.476500,324480
1970-11-12,6.961138,6.961138,6.850962,6.860978,1.455256,379392
1970-11-13,6.850962,6.850962,6.760817,6.810897,1.444633,658944
1970-11-16,6.810897,6.860978,6.780849,6.790865,1.440385,438048
1970-11-17,6.810897,6.870994,6.810897,6.810897,1.444633,365664
1970-11-18,6.810897,6.860978,6.810897,6.820913,1.446759,809952
1970-11-19,6.820913,6.901042,6.820913,6.870994,1.457380,324480
1970-11-20,6.870994,6.911058,6.860978,6.911058,1.465878,345696
1970-11-23,6.911058,7.001202,6.891026,6.921074,1.468003,626496
1970-11-24,6.921074,6.971154,6.911058,6.971154,1.478625,316992
1970-11-25,6.971154,7.031250,6.971154,7.001202,1.484998,572832
1970-11-27,7.001202,7.051282,7.001202,7.011218,1.487123,313248
1970-11-30,7.011218,7.081330,7.001202,7.081330,1.501994,409344
1970-12-01,7.081330,7.121394,6.971154,7.011218,1.487123,574080
1970-12-02,7.011218,7.121394,6.971154,7.101362,1.506244,957216
1970-12-03,7.101362,7.101362,6.991186,7.031250,1.491371,627744
1970-12-04,7.031250,7.071314,7.001202,7.011218,1.487123,328224
1970-12-07,7.011218,7.031250,6.991186,7.031250,1.502534,607776
1970-12-08,7.031250,7.041266,6.991186,7.001202,1.496111,403104
1970-12-09,7.001202,7.091346,6.961138,7.091346,1.515376,777504
1970-12-10,7.131410,7.211538,7.131410,7.201522,1.538918,610272
1970-12-11,7.231571,7.311699,7.231571,7.291667,1.558184,574080
1970-12-14,7.291667,7.391827,7.261619,7.281651,1.556042,525408
1970-12-15,7.281651,7.291667,7.191506,7.261619,1.551762,348192
1970-12-16,7.261619,7.271635,7.201522,7.271635,1.553903,234624
1970-12-17,7.271635,7.321715,7.251603,7.311699,1.562464,310752
1970-12-18,7.311699,7.401843,7.281651,7.351763,1.571025,587808
1970-12-21,7.351763,7.361779,7.161458,7.201522,1.538918,321984
1970-12-22,7.201522,7.331731,7.141426,7.291667,1.558184,807456
1970-12-23,7.291667,7.371795,7.271635,7.341747,1.568884,789984
1970-12-24,7.341747,7.341747,7.251603,7.271635,1.553903,300768
1970-12-28,7.271635,7.271635,7.151442,7.211538,1.541059,423072
1970-12-29,7.241587,7.371795,7.241587,7.361779,1.573165,596544
1970-12-30,7.361779,7.431891,7.341747,7.401843,1.581727,650208
